corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
737,755,he/she is making footsteps,FullEventful,tuhstanoyhvhka,takwahstanoyhvhka,tuhstanoyhvhko'i,tuhstanoyhvhkv'i,titsahstanoyhvla,tsuhstanoyhvlhihsti
738,756,he/she is releasing it (refers to involuntarily releasing),FullEventful,tuhskalehstiha,takwahskalehstiha,tuhskalehstihsko'i,tuhskalehsthanv'i,titsahskalehsta,tsuhskalehstohti
739,757,he/she is tired,FullEventful,tuyaweka,takiyaweka,tuyaweko'i,tuyawetsv'i,titsayaweki,tsuyawehsti
740,758,he/she is releasing it (refers to voluntarily releasing),FullEventful,tuyohska,takiyohska,tuyohsko'i,tuyohsv'i,titsayohi,tsuyohihsti
742,765,he/she is walking around,FullEventful,etoha,ketoha,etoho'i,uwetolv'i,heta,uwetahsti
743,766,he/she is going,FullEventful,eka,keka,eko'i,uwenvhsv'i,hena,uwenvhsti
746,769,he/she lives,FullEventful,eha,ke'a,eho'i,,hehehsti,
746,769,he/she lives,FullStative,eha,ke'a,eho'i,,hehehsti,
752,776,he/she thinks so,FullEventful,eli'a,keli'a,elihsko'i,uwelihsv'i,hela,uwelihsti
757,787,he/she is straightening it,FullEventful,katshinohsiha,tsitshinohsiha,katshinohsihsko'i,uwatshinohsanhv'i,hitshinohsa,uwatshinohsohti
759,789,it is hanging (refers to flexible object),FullEventful,kata'a,kata'a,kata'o'i,,hata'ehsti,
759,789,it is hanging (refers to flexible object),FullStative,kata'a,kata'a,kata'o'i,,hata'ehsti,
764,794,he/she is plowing it,FullEventful,kataluki'a,tsitaluki'a,katalukihsko'i,uwatalukanv'i,hitalukvka,uwatalukoti
766,796,he/she is removing it from a hanging position (refers to solid or flexible object),FullEventful,kate'a,kate'a,katehsko'i,utehsv'i,hataki,utehsti
767,797,he/she is turning it,FullEventful,kateyhstiha,tsiteyahstiha,kateyhstihsko'i,uwateyhsthanv'i,hiteyhsta,uwateyhstohti
769,799,he/she is spinning it,FullEventful,katikwalvteyhstiha,tsitikwalvteyhstiha,katikwalvteyhstihsko'i,uwatikwalvteyhsthanv'i,hitikwalvteyhsta,uwatikwalvteyhstohti
770,800,he/she is strapping it,FullEventful,katlohiha,tsitlohiha,katlohiho'i,uwatlolhv'i,hitloka,uwatlohsti
772,802,he/she is standing,FullEventful,katoka,tsitoka,katoko'i,,hitokehsti,
772,802,he/she is standing,FullStative,katoka,tsitoka,katoko'i,,hitokehsti,
775,805,he/she is pitying him/her,FullEventful,katolika,tsiyatolika,katoliko'i,uwatolitsv'i,hiyatoliki,uwatolihsti
776,806,he/she is dropping him/her (refers to flexible object),FullEventful,katonhtiha,tsiyatonhtiha,katonhtihsko'i,utonhthanv'i,hiyatonhta,utonhtohti
777,807,it is falling from a hanging position (refers to flexible object),FullEventful,katohska,katohska,katohsko'i,utohsv'i,hatohi,utohihsti
784,814,he/she is baking it,FullEventful,katuhvhska,tsituhvhska,katuhvhsko'i,uwatunhv'i,hituhvka,uwathti
